Marque,Modèle,Année,Kilométrage,Energie,Puissance fiscale,Puissance (ch.din),Cylindrée,Boite vitesse,Catégorie,Prix
volkswagen,golf8,2020,26000,essence,6,0,1000,Manuelle,Occasion,109000
volkswagen,golf6,2010,268400,diesel,5,105,1598,Manuelle,Occasion,35000
mg,5,2022,26000,essence,7,0,1498,Automatique,Occasion,70000
ds,3,2012,138000,essence,6,0,1399,Automatique,Occasion,35000
peugeot,206,2005,183000,essence,4,0,999,Manuelle,Occasion,17000
volkswagen,polosedan,2021,84000,essence,5,0,1400,Manuelle,Occasion,53000
audi,q5,2015,278000,diesel,10,0,2000,Automatique,Occasion,115000
hyundai,santafe2.2lcrdi,2024,0,diesel,12,200,2199,Automatique,Neuf,280000
peugeot,rifter,2019,67000,essence,6,0,1198,Manuelle,Occasion,69000
mercedesbenz,classegl,2007,185000,diesel,23,306,3997,Automatique,Occasion,95000
mercedesbenz,classea,2020,65000,hybride rechargeable essence,8,158,1332,Automatique,Occasion,128000
bmw,série3,2016,142000,essence,7,0,1499,Automatique,Occasion,79000
fiat,doblo,2015,195000,diesel,5,90,1800,Manuelle,Occasion,19000
peugeot,rifter1.6lhdi90ch,2024,0,diesel,5,90,1560,Manuelle,Neuf,100900
citroën,ds5,2013,150000,essence,9,0,1598,Automatique,Occasion,45000
mini,3portes,2017,100000,essence,5,136,1500,Automatique,Occasion,63000
nissan,qashqai,2016,148000,essence,6,0,1200,Manuelle,Occasion,60500
volkswagen,polosedan,2022,94000,essence,5,85,1400,Manuelle,Occasion,53000
mazda,cx7,2009,165000,essence,18,260,2298,Automatique,Occasion,45000
mercedesbenz,classee,2012,60000,essence,15,0,3000,Automatique,Occasion,110000
mini,countryman1.5lbvajohncooperworks,2024,0,essence,9,156,1499,Automatique,Neuf,215000
mercedesbenz,classee,2009,160000,diesel,12,0,2198,Automatique,Occasion,59000
peugeot,206+,2012,142000,essence,4,0,1124,Manuelle,Occasion,24000
volvo,ec40rechargetwinultrablackedition,2024,0,electrique,14,408,0,Automatique,Neuf,229900
ford,focus,2016,227000,essence,6,0,999,Manuelle,Occasion,36000
kia,rio5p,2021,68000,essence,5,84,1200,Manuelle,Occasion,63500
nissan,qashqai,2017,178000,essence,6,115,1197,Manuelle,Occasion,64000
kia,sportage,2021,77000,essence,8,0,1591,Automatique,Occasion,103000
haval,h6,2019,110000,essence,9,143,1498,Automatique,Occasion,77000
mercedesbenz,eqa,2022,98000,electrique,7,190,899,Automatique,Occasion,149000
mercedesbenz,classeaberline,2020,58000,hybride rechargeable essence,8,158,1332,Automatique,Occasion,149500
bmw,série3coupé,2011,160000,essence,7,122,1599,Manuelle,Occasion,49000
bmw,x1hybridexdrive25epackm,2024,0,essence | hybride rechargeable,8,245,1499,Automatique,Neuf,244900
skoda,scala,2021,94000,essence,6,0,1598,Automatique,Occasion,64000
opel,astra,2008,196000,essence,5,90,899,Manuelle,Occasion,25500
chery,tiggo71.5tcvt,2024,0,essence,9,147,1498,Automatique,Neuf,99580
kia,picanto1.2lbvasmart,2024,0,essence,4,84,1197,Automatique,Neuf,56480
suzuki,vitara,1993,270000,essence,9,0,1998,Automatique,Occasion,33000
bmw,x1,2020,87000,essence,8,0,1499,Automatique,Occasion,129000
suzuki,ciaz1.5lglbva,2024,0,essence,6,105,1462,Automatique,Neuf,67900
skoda,fabia,2021,105000,essence,4,0,999,Manuelle,Occasion,43000
toyota,hiluxdoublecabine,2024,3000,essence,8,0,2899,Manuelle,Occasion,231000
volkswagen,golf6,2012,197654,essence,5,80,1400,Manuelle,Occasion,41000
peugeot,301,2018,202000,essence,5,82,1199,Manuelle,Occasion,24500
bmw,ix1xdrive30,2024,0,electrique,8,313,0,Automatique,Neuf,216900
volkswagen,golf8,2024,5496,hybride rechargeable essence,8,150,2000,Automatique,Occasion,170000
volkswagen,golf7,2013,190000,essence,6,0,1200,Automatique,Occasion,49000
volkswagen,jetta,2010,280000,diesel,6,105,1499,Manuelle,Occasion,24000
mercedesbenz,gla,2023,26000,hybride rechargeable essence,8,158,1999,Automatique,Occasion,225000
volkswagen,amarok2.0ltdi4x4bvaaventuradoublecabine,2024,0,diesel,5,210,1996,Automatique,Neuf,239980
ford,focus,2018,114000,essence,6,0,1000,Manuelle,Occasion,54000
mercedesbenz,gla,2016,65000,essence,8,0,1595,Automatique,Occasion,118000
audi,a3sportback,2016,205000,diesel,5,110,1598,Manuelle,Occasion,55000
seat,ibiza,2021,99519,essence,4,80,1000,Manuelle,Occasion,54000
mercedesbenz,classec,2019,135000,essence,8,0,1598,Automatique,Occasion,161290
toyota,corolla,2022,66000,essence,6,0,1000,Automatique,Occasion,70000
mercedesbenz,classee,2018,107000,essence,9,156,1600,Automatique,Occasion,128000
landrover,rangeroversport,2020,80000,hybride rechargeable essence,17,300,2000,Automatique,Occasion,310000
renault,megane,2020,155000,essence,7,130,1200,Manuelle,Occasion,50000
mercedesbenz,cla,2024,1000,hybride essence,8,163,1400,Automatique,Occasion,225000
suzuki,ertiga1.5lbvaglx7places,2024,0,essence,6,105,1462,Automatique,Neuf,83900
toyota,chr,2021,71000,essence,6,116,1197,Automatique,Occasion,85000
hyundai,i20,2015,132000,essence,5,0,1198,Manuelle,Occasion,43000
toyota,fortuner2.4ld4dbva,2024,0,diesel,8,150,2393,Automatique,Neuf,274800
mercedesbenz,classec,2012,120000,essence,9,156,1595,Manuelle,Occasion,60000
kia,rio5p,2022,86000,essence,5,84,1197,Manuelle,Occasion,63500
volkswagen,golf7,2019,133000,essence,7,110,1198,Automatique,Occasion,63000
toyota,hilux2.4ldieseld4d4x4bvadoublecabine,2024,0,diesel,8,150,2393,Automatique,Neuf,192900
mercedesbenz,classee200exclusive,2024,0,essence | hybride léger,12,204,1999,Automatique,Neuf,310000
chery,tiggo3x1.0lturbocvtluxury,2024,0,essence,6,102,998,Automatique,Neuf,66990
citroën,ds,2020,99000,essence,10,0,1600,Automatique,Occasion,103000
mercedesbenz,classee,2017,125000,essence,9,156,1800,Automatique,Occasion,125000
mercedesbenz,classec180eqboost9gtronicavantgarde,2024,0,essence | hybride léger,9,170,1496,Automatique,Neuf,223000
skoda,fabia,2020,73000,essence,4,0,1000,Manuelle,Occasion,46500
mercedesbenz,classee,2022,15000,essence,9,0,1498,Automatique,Occasion,248000
jeep,renegade1.4turbolimitedbva4x2,2024,0,essence,8,140,1368,Automatique,Neuf,126500
skoda,fabia,2022,35000,essence,4,80,999,Manuelle,Occasion,58500
smart,fortwo,2010,101000,essence,5,0,0,Manuelle,Occasion,27500
porsche,cayenne,2013,145000,diesel,16,0,1000,Automatique,Occasion,190000
fiat,doblo,2021,38000,diesel,5,0,1300,Manuelle,Occasion,44500
mercedesbenz,glccoupé,2020,70000,hybride rechargeable essence,12,211,1991,Automatique,Occasion,245000
landrover,rangeroverevoque,2019,50000,diesel,9,150,2000,Automatique,Occasion,187000
bmw,série3,2021,80000,essence,9,0,1600,Automatique,Occasion,174000
volkswagen,tiguan,2020,110000,essence,8,150,1398,Automatique,Occasion,122000
peugeot,3008,2017,260000,essence,9,0,0,Automatique,Occasion,77000
peugeot,3008gt,2020,125000,essence,6,0,1599,Automatique,Occasion,89000
citroën,c3,2020,28000,essence,4,0,1199,Manuelle,Occasion,48000
bmw,x1hybridexdrive25exline,2024,0,essence | hybride rechargeable,8,245,1499,Automatique,Neuf,239900
bmw,série4grancoupé,2020,86000,essence,7,136,1499,Automatique,Occasion,120000
maserati,quattroporte,2005,96000,essence,34,400,4244,Automatique,Occasion,115000
haval,jolion,2023,24000,essence,9,143,1498,Automatique,Occasion,93500
toyota,chr,2020,130000,essence,6,150,1197,Automatique,Occasion,77000
kia,rio5p,2018,103000,essence,5,84,1199,Manuelle,Occasion,49900
ssangyong,tivoli,2020,89000,essence,8,163,1600,Automatique,Occasion,69000
seat,arona,2021,26000,essence,6,0,1550,Manuelle,Occasion,73500
honda,city,2022,80000,essence,6,120,1498,Automatique,Occasion,67000
hyundai,i30fastback,2022,19000,essence,8,159,1000,Automatique,Occasion,85000
mg,3,2020,70000,essence,6,0,1500,Manuelle,Occasion,48000
bmw,x5,2010,159000,diesel,19,0,3498,Automatique,Occasion,86000
hyundai,grandi10sedan,2017,194000,essence,5,87,1197,Manuelle,Occasion,37000
mercedesbenz,classec,2022,2800,essence,9,170,1496,Automatique,Occasion,220000
mercedesbenz,classee,2022,10776,essence,11,204,2000,Automatique,Occasion,390000
volkswagen,polo,2015,198000,essence,4,75,999,Manuelle,Occasion,33800
toyota,corollacrosshybride,2022,36000,hybride essence,5,122,1798,Automatique,Occasion,120000
kia,rioberline,2017,87000,essence,5,0,1198,Manuelle,Occasion,44500
toyota,landcruiser,2016,98000,diesel,18,0,4500,Automatique,Occasion,350000
volkswagen,golf8,2023,14000,essence,8,0,1500,Automatique,Occasion,158000
bmw,x1,2020,78000,essence,8,0,1498,Automatique,Occasion,98000
audi,a3sportback,2019,78000,essence,6,0,999,Manuelle,Occasion,78000
opel,corsa,2022,41000,essence,5,0,1198,Manuelle,Occasion,59900
